,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
17,9788917238549,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),외국어,ETS,9.7 ,"16,020원",2021-12-13
18,9791191825145,위로의 미술관,예술/대중문화,진병관,9.6 ,"16,920원",2022-08-31
19,9788917238532,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),외국어,ETS,7.5 ,"16,020원",2021-12-13
20,9788997575169,원씽 The One Thing (리커버 특별판),자기계발,게리 켈러,8.5 ,"12,600원",2013-08-20
2022년10월,,,,,,,
1,9788959897094,트렌드 코리아 2023,경제경영,김난도,8.1 ,"17,100원",2022-10-05
2,9788936438838,아버지의 해방일지,소설/시/희곡,정지아,9.4 ,"13,500원",2022-09-02
3,K382839443,주술회전 20 (초판한정 사멸회유 특제 미니 L홀더 + 선착순 한정 이타도리 유지 포토 카드 포함 특장판),만화,아쿠타미 게게,10.0 ,"5,400원",2022-10-26
4,9788932474786,헤어질 결심 스토리보드북,예술/대중문화,이윤호,9.1 ,"29,700원",2022-10-20
5,9788954680004,이토록 평범한 미래,소설/시/희곡,김연수,9.0 ,"12,600원",2022-10-07
6,9791191859379,인생의 역사,에세이,신형철,9.7 ,"16,200원",2022-10-31
7,9788950941819,세상에서 가장 쉬운 본질육아,좋은부모,지나영,9.8 ,"16,920원",2022-09-28
8,9788954699914,하얼빈,소설/시/희곡,김훈,8.6 ,"14,400원",2022-08-03
9,9791169441315,원피스 103,만화,오다 에이치로,9.5 ,"4,950원",2022-10-28
10,9788901260716,역행자,자기계발,자청,7.4 ,"15,750원",2022-06-03
11,9791130626659,올리버쌤의 미국식 아이 영어 습관 365,좋은부모,올리버 샨 그랜트,9.8 ,"20,700원",2022-10-06
12,9791169277068,도쿄 리벤저스 28,만화,와쿠이 켄,9.2 ,"5,400원",2022-10-20
13,9788954619585,단순한 열정 (무선),소설/시/희곡,아니 에르노,8.1 ,"9,000원",2012-11-07
14,9791161571188,불편한 편의점 (벚꽃 에디션),소설/시/희곡,김호연,8.4 ,"12,600원",2021-04-20
15,9788954688796,가녀장의 시대,소설/시/희곡,이슬아,8.7 ,"13,500원",2022-10-07
16,9791168340541,파친코 2,소설/시/희곡,이민진,9.4 ,"14,220원",2022-08-25
17,9791189327156,"물고기는 존재하지 않는다 (리커버 특별판, 양장)",과학,룰루 밀러,8.3 ,"15,300원",2021-12-17
18,9788932040448,나는 오래된 거리처럼 너를 사랑하고,소설/시/희곡,진은영,9.4 ,"10,800원",2022-08-31
19,8809529013452,2023년 문재인 탁상 달력,건강/취미,더휴먼 편집부,10.0 ,"8,820원",2022-10-25
20,9791168340510,파친코 1,소설/시/희곡,이민진,9.4 ,"14,220원",2022-07-27
2022년11월,,,,,,,
1,9788936438838,아버지의 해방일지,소설/시/희곡,정지아,9.4 ,"13,500원",2022-09-02
2,9788959897094,트렌드 코리아 2023,경제경영,김난도,8.1 ,"17,100원",2022-10-05
3,9788997780518,조국의 법고전 산책,인문학,조국,9.6 ,"19,800원",2022-11-09
