,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
16,788950922955 ,마법천자문54-처음으로 찾아내다,국내도서,유대영,/,"12,600원",2022년 08월 29일
17,791191891201 ,잘될 수밖에 없는 너에게-10만부 기념 응원 에디션,국내도서,최서영,/,"14,400원",2022년 08월 18일
18,791197377143 ,어서 오세요 휴남동 서점입니다 (봄꽃 에디션),국내도서,황보름,/,"13,500원",2022년 01월 17일
19,791191114225 ,작별인사,국내도서,김영하,/,"12,600원",2022년 05월 02일
20,791158682446 ,읽으면서 바로 써먹는 어린이 수수께끼 : 공포 특급 (맛있는 공부 49),국내도서,한날,/,"11,700원",2022년 07월 25일
2022년 10월,,,,,,,
1,788959897094 ,트렌드 코리아 2023 -서울대 소비트렌드 분석센터의 2023 전망,국내도서,"김난도,전미영,최지혜,이수진,권정윤,이준영,이향은,한다혜,이혜원,추예린",/,"17,100원",2022년 10월 05일
2,791161571188 ,불편한 편의점(벚꽃 에디션),국내도서,김호연,/,"12,600원",2021년 04월 20일
3,788954699914 ,하얼빈,국내도서,김훈,/,"14,400원",2022년 08월 03일
4,791161571379 ,불편한 편의점2(단풍 에디션),국내도서,김호연,/,"12,600원",2022년 08월 10일
5,791191043754 ,세상의 마지막 기차역-리커버 에디션,국내도서,무라세다케시,/,"12,600원",2022년 05월 11일
6,788901260716 ,역행자,국내도서,자청,/,"15,750원",2022년 05월 30일
7,788997575169 ,원씽(THE ONE THING)(리커버 특별판),국내도서,"게리켈러,제이파파산",/,"12,600원",2017년 10월 25일
8,791168412477 ,흔한남매 11,국내도서,"흔한남매,백난도",/,"13,050원",2022년 07월 28일
9,791168413931 ,흔한남매의 흔한 호기심 7,국내도서,"흔한남매,안치현",/,"12,600원",2022년 10월 12일
10,791191891201 ,잘될 수밖에 없는 너에게-10만부 기념 응원 에디션,국내도서,최서영,/,"14,400원",2022년 08월 18일
11,788936438838 ,아버지의 해방일지,국내도서,정지아,/,"13,500원",2022년 09월 02일
12,791168340510 ,파친코 1-개정판,국내도서,이민진,/,"14,220원",2022년 07월 27일
13,791133463817 ,포켓몬스터 썬&문 포켓몬 전국대도감,국내도서,편집부,/,"8,550원",2017년 10월 20일
14,791158883591 ,부자아빠 가난한 아빠 1(20주년 특별 기념판),국내도서,로버트기요사키,/,"15,300원",2018년 02월 22일
15,791169441315 ,원피스 103 - 해방의 전사,국내도서,오다에이치로,/,"4,950원",2022년 10월 25일
16,791191043761 ,멘탈을 바꿔야 인생이 바뀐다(10만부 리커버),국내도서,박세니,/,"15,120원",2023년 05월 15일
17,791191043723 ,어느 날 내 죽음에 네가 들어왔다,국내도서,세이카료겐,/,"13,500원",2022년 05월 09일
18,791168340541 ,파친코 2-개정판,국내도서,이민진,/,"14,220원",2022년 08월 25일
19,788978496629 ,초역 니체의 말(3판),국내도서,"프리드리히 니체,시라토리 하루히코",/,"14,220원",2022년 08월 29일
20,791168412620 ,민쩌미 코디북 1 - 잘생긴 전학생의 등장,국내도서,민쩌미,/,"12,150원",2022년 08월 30일
2022년 11월,,,,,,,
1,788959897094 ,트렌드 코리아 2023 -서울대 소비트렌드 분석센터의 2023 전망,국내도서,"김난도,전미영,최지혜,이수진,권정윤,이준영,이향은,한다혜,이혜원,추예린",/,"17,100원",2022년 10월 05일
2,791161571188 ,불편한 편의점(벚꽃 에디션),국내도서,김호연,/,"12,600원",2021년 04월 20일
3,791168414075 ,에그박사 8-자연 생물 관찰 만화,국내도서,"에그박사,박송이",/,"13,050원",2022년 11월 10일
4,791161571379 ,불편한 편의점2(단풍 에디션),국내도서,김호연,/,"12,600원",2022년 08월 10일
5,791191043754 ,세상의 마지막 기차역-리커버 에디션,국내도서,무라세다케시,/,"12,600원",2022년 05월 11일
6,788901260716 ,역행자,국내도서,자청,/,"15,750원",2022년 05월 30일
7,788954699914 ,하얼빈,국내도서,김훈,/,"14,400원",2022년 08월 03일
8,788997575169 ,원씽(THE ONE THING)(리커버 특별판),국내도서,"게리켈러,제이파파산",/,"12,600원",2017년 10월 25일
9,791168414471 ,흔한남매 12,국내도서,"흔한남매,백난도",/,"13,050원",2022년 11월 30일
10,788936438838 ,아버지의 해방일지,국내도서,정지아,/,"13,500원",2022년 09월 02일
11,791168413931 ,흔한남매의 흔한 호기심 7,국내도서,"흔한남매,안치현",/,"12,600원",2022년 10월 12일
12,791169441315 ,원피스 103 - 해방의 전사,국내도서,오다에이치로,/,"4,950원",2022년 10월 25일
13,788978496629 ,초역 니체의 말(3판),국내도서,"프리드리히 니체,시라토리 하루히코",/,"14,220원",2022년 08월 29일
14,791192300245 ,마흔에 읽는 니체 - 지금 이 순간을 위한 철학 수업(10만 부 양장 리커버 에디션),국내도서,장재형,/,"14,400원",2022년 09월 01일
15,791167732071 ,임용 면접레시피 기본서(2023대비),국내도서,"류은진, 양왕경, 이광한, 이지혜",/,"31,350원",2022년 10월 27일
16,791164064748 ,이상한 과자 가게 전천당 16,국내도서,히로시마레이코,/,"11,700원",2022년 11월 25일
17,791133463817 ,포켓몬스터 썬&문 포켓몬 전국대도감,국내도서,편집부,/,"8,550원",2017년 10월 20일
18,791168412477 ,흔한남매 11,국내도서,"흔한남매,백난도",/,"13,050원",2022년 07월 28일
19,788934946793 ,흔한남매 과학 탐험대6-물리2,국내도서,"흔한남매,닥터스코,이현진",/,"12,600원",2022년 11월 22일
20,791168340510 ,파친코 1-개정판,국내도서,이민진,/,"14,220원",2022년 07월 27일
2022년 12월,,,,,,,
1,791168414471 ,흔한남매 12,국내도서,"흔한남매,백난도",/,"13,050원",2022년 11월 30일
2,788959897094 ,트렌드 코리아 2023 -서울대 소비트렌드 분석센터의 2023 전망,국내도서,"김난도,전미영,최지혜,이수진,권정윤,이준영,이향은,한다혜,이혜원,추예린",/,"17,100원",2022년 10월 05일
3,791191043297 ,오늘 밤 세계에서 이 사랑이 사라진다 해도,국내도서,이치조미사키,/,"12,600원",2021년 06월 28일
4,791161571188 ,불편한 편의점(벚꽃 에디션),국내도서,김호연,/,"12,600원",2021년 04월 20일
5,791161571379 ,불편한 편의점2(단풍 에디션),국내도서,김호연,/,"12,600원",2022년 08월 10일
6,791190538510 ,만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션),국내도서,김혜남,/,"15,480원",2022년 11월 11일
7,788997575169 ,원씽(THE ONE THING)(리커버 특별판),국내도서,"게리켈러,제이파파산",/,"12,600원",2017년 10월 25일
8,791191043754 ,세상의 마지막 기차역-리커버 에디션,국내도서,무라세다케시,/,"12,600원",2022년 05월 11일
9,788954699914 ,하얼빈,국내도서,김훈,/,"14,400원",2022년 08월 03일
10,791191043976 ,오늘 밤 세계에서 이 눈물이 사라진다 해도,국내도서,이치조 미사키,/,"12,600원",2022년 07월 28일
11,788934946793 ,흔한남매 과학 탐험대6-물리2,국내도서,"흔한남매,닥터스코,이현진",/,"12,600원",2022년 11월 22일
12,788901260716 ,역행자,국내도서,자청,/,"15,750원",2022년 05월 30일
13,788978496629 ,초역 니체의 말(3판),국내도서,"프리드리히 니체,시라토리 하루히코",/,"14,220원",2022년 08월 29일
14,788936438838 ,아버지의 해방일지,국내도서,정지아,/,"13,500원",2022년 09월 02일
15,791168414075 ,에그박사 8-자연 생물 관찰 만화,국내도서,"에그박사,박송이",/,"13,050원",2022년 11월 10일
16,791192300245 ,마흔에 읽는 니체 - 지금 이 순간을 위한 철학 수업(10만 부 양장 리커버 에디션),국내도서,장재형,/,"14,400원",2022년 09월 01일
17,791168340510 ,파친코 1-개정판,국내도서,이민진,/,"14,220원",2022년 07월 27일
18,791191496642 ,설민석의 한국사 대모험 23,국내도서,"설민석,스토리박스",/,"11,700원",2022년 11월 28일
19,791190382502 ,모든 것은 기본에서 시작한다,국내도서,손웅정,/,"14,400원",2021년 10월 15일
20,791188331796 ,돈의 속성(300쇄 기념 에디션),국내도서,김승호,/,"16,020원",2020년 06월 15일
2023년 1월,,,,,,,
1,791161571188 ,불편한 편의점(벚꽃 에디션),국내도서,김호연,/,"12,600원",2021년 04월 20일
2,788959897094 ,트렌드 코리아 2023 -서울대 소비트렌드 분석센터의 2023 전망,국내도서,"김난도,전미영,최지혜,이수진,권정윤,이준영,이향은,한다혜,이혜원,추예린",/,"17,100원",2022년 10월 05일
3,791191043297 ,오늘 밤 세계에서 이 사랑이 사라진다 해도,국내도서,이치조미사키,/,"12,600원",2021년 06월 28일
4,788997575169 ,원씽(THE ONE THING)(리커버 특별판),국내도서,"게리켈러,제이파파산",/,"12,600원",2017년 10월 25일
5,791168414471 ,흔한남매 12,국내도서,"흔한남매,백난도",/,"13,050원",2022년 11월 30일
6,791190538510 ,만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션),국내도서,김혜남,/,"15,480원",2022년 11월 11일
7,791197647666 ,기분이 태도가 되지 말자,국내도서,김수현,/,"14,400원",2022년 11월 25일
8,791161571379 ,불편한 편의점2(단풍 에디션),국내도서,김호연,/,"12,600원",2022년 08월 10일
9,791190382915 ,생에 감사해,국내도서,김혜자,/,"15,300원",2022년 12월 22일
10,788901260716 ,역행자,국내도서,자청,/,"15,750원",2022년 05월 30일
11,791191043754 ,세상의 마지막 기차역-리커버 에디션,국내도서,무라세다케시,/,"12,600원",2022년 05월 11일
12,791168414822 ,흔한남매의 흔한 호기심 8,국내도서,"흔한남매,안치현",/,"12,600원",2023년 01월 19일
13,791191043976 ,오늘 밤 세계에서 이 눈물이 사라진다 해도,국내도서,이치조 미사키,/,"12,600원",2022년 07월 28일
14,788978496629 ,초역 니체의 말(3판),국내도서,"프리드리히 니체,시라토리 하루히코",/,"14,220원",2022년 08월 29일
15,791169792974 ,슬램덩크 챔프,국내도서,이노우에타케히코,/,"13,500원",2023년 01월 06일
16,788936438838 ,아버지의 해방일지,국내도서,정지아,/,"13,500원",2022년 09월 02일
17,788954699914 ,하얼빈,국내도서,김훈,/,"14,400원",2022년 08월 03일
18,791188331796 ,돈의 속성(300쇄 기념 에디션),국내도서,김승호,/,"16,020원",2020년 06월 15일
19,788984374546 ,안젤리크,국내도서,기욤뮈소,/,"15,120원",2022년 12월 21일
20,788956608556 ,구의 증명(은행나무 노벨라 7),국내도서,최진영,/,"7,200원",2015년 03월 30일
2023년 2월,,,,,,,
1,791197647666 ,기분이 태도가 되지 말자,국내도서,김수현,/,"14,400원",2022년 11월 25일
2,788997575169 ,원씽(THE ONE THING)(리커버 특별판),국내도서,"게리켈러,제이파파산",/,"12,600원",2017년 10월 25일
3,791192504216 ,백앤아 1 - 미스터리 100층 감옥,국내도서,"백앤아(원작),안성훈",/,"13,500원",2023년 01월 27일
4,791161571188 ,불편한 편의점(벚꽃 에디션),국내도서,김호연,/,"12,600원",2021년 04월 20일
5,788956608556 ,구의 증명(은행나무 노벨라 7),국내도서,최진영,/,"7,200원",2015년 03월 30일
6,791191043297 ,오늘 밤 세계에서 이 사랑이 사라진다 해도,국내도서,이치조미사키,/,"12,600원",2021년 06월 28일
7,791161571379 ,불편한 편의점2(단풍 에디션),국내도서,김호연,/,"12,600원",2022년 08월 10일
