,교보문고,2022.07~2023.05,임규찬,,,,,,,YES24,2022.07~2022.06,구영인,,,,,,,영풍문고,2022.07~2023.06,우종연,,,,,,,알라딘,2022.07~2023.06,진수영,,,,
,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일,,,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일,,,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일,,,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
2022년07월,,,,,,,,,2022년7월,,,,,,,,,2022년 7월,,,,,,,,,2022년7월,,,,,,,
17,9791187142560 ,데일 카네기 인간관계론,자기계발,데일 카네기,9.7,"10,350원",2019년10월07일,,17,9791191114225 ,작별인사,소설/시/희곡,김영하,9.2,"12,600원",2022년 09월 05일,,17,791191891201 ,잘될 수밖에 없는 너에게-10만부 기념 응원 에디션,국내도서,최서영,/,"14,400원",2022년 08월 18일,,17,9788917238549 ,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),외국어,ETS,9.7,"16,020원",2021-12-13
18,9788950922955 ,마법천자문 54: 처음으로 찾아내다! 발견,어린이(초등),유대영,9.9,"12,600원",2022년08월29일,,18,9788997575169 ,원씽 THE ONE THING,자기계발,게리 켈러,9.1,"12,600원",2013년 08월 30일,,18,791197377143 ,어서 오세요 휴남동 서점입니다 (봄꽃 에디션),국내도서,황보름,/,"13,500원",2022년 01월 17일,,18,9791191825145 ,위로의 미술관,예술/대중문화,진병관,9.6,"16,920원",2022-08-31
19,9791191114225 ,작별인사,소설,김영하,9.6,"12,600원",2022년05월02일,,19,9791130633619 ,부자의 그릇,경제 경영,이즈미 마사토,9.4,"13,500원",2020년 12월 14일,,19,791191114225 ,작별인사,국내도서,김영하,/,"12,600원",2022년 05월 02일,,19,9788917238532 ,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),외국어,ETS,7.5,"16,020원",2021-12-13
20,9791165346010 ,언어를 디자인하라,자기계발,유영만,9.8,"15,300원",2022년08월31일,,20,9788917238549 ,ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩 ,국어 외국어 사전,ETS,9.8,"16,020원",2021년 12월 13일,,20,791158682446 ,읽으면서 바로 써먹는 어린이 수수께끼 : 공포 특급 (맛있는 공부 49),국내도서,한날,/,"11,700원",2022년 07월 25일,,20,9788997575169 ,원씽 The One Thing (리커버 특별판),자기계발,게리 켈러,8.5,"12,600원",2013-08-20
2022년10월,,,,,,,,,2022년10월,,,,,,,,,2022년 10월,,,,,,,,,2022년10월,,,,,,,
1,9788959897094 ,트렌드 코리아 2023,경제/경영,김난도,9.5,"17,100원",2022년10월05일,,1,9788901260716 ,역행자,자기계발,자청,9.3,"15,750원",2022년 05월 30일,,1,788959897094 ,트렌드 코리아 2023 -서울대 소비트렌드 분석센터의 2023 전망,국내도서,"김난도,전미영,최지혜,이수진,권정윤,이준영,이향은,한다혜,이혜원,추예린",/,"17,100원",2022년 10월 05일,,1,9788959897094 ,트렌드 코리아 2023,경제경영,김난도,8.1,"17,100원",2022-10-05
2,9788954699914 ,하얼빈,소설,김훈,9.8,"14,400원",2022년08월03일,,2,9788954699914 ,하얼빈,소설/시/희곡,김훈,9.4,"14,400원",2022년 08월 03일,,2,791161571188 ,불편한 편의점(벚꽃 에디션),국내도서,김호연,/,"12,600원",2021년 04월 20일,,2,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.4,"13,500원",2022-09-02
3,9788936438838 ,아버지의 해방일지,소설,정지아,9.9,"13,500원",2022년09월02일,,3,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022년 08월 10일,,3,788954699914 ,하얼빈,국내도서,김훈,/,"14,400원",2022년 08월 03일,,3,K382839443,주술회전 20 (초판한정 사멸회유 특제 미니 L홀더 + 선착순 한정 이타도리 유지 포토 카드 포함 특장판),만화,아쿠타미 게게,10,"5,400원",2022-10-26
4,9791161571188 ,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일,,4,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.6,"13,500원",2022년 09월 02일,,4,791161571379 ,불편한 편의점2(단풍 에디션),국내도서,김호연,/,"12,600원",2022년 08월 10일,,4,9788932474786 ,헤어질 결심 스토리보드북,예술/대중문화,이윤호,9.1,"29,700원",2022-10-20
5,9791161571379 ,불편한 편의점 2(단풍 에디션),소설,김호연,9.8,"12,600원",2022년08월10일,,5,9791191496604 ,설민석의 한국사 대모험 22,어린이,설민석,10,"11,700원",2022년 08월 29일,,5,791191043754 ,세상의 마지막 기차역-리커버 에디션,국내도서,무라세다케시,/,"12,600원",2022년 05월 11일,,5,9788954680004 ,이토록 평범한 미래,소설/시/희곡,김연수,9,"12,600원",2022-10-07
6,9791192300245 ,마흔에 읽는 니체(10만 부 양장 리커버 에디션),인문,장재형,9.7,"14,400원",2022년09월01일,,6,9791140410552 ,데뷔 못 하면 죽는 병 걸림 1부 초판 한정 굿즈박스 세트,소설/시/희곡,백덕수,9.8,"85,500원",2022년 12월 08일,,6,788901260716 ,역행자,국내도서,자청,/,"15,750원",2022년 05월 30일,,6,9791191859379 ,인생의 역사,에세이,신형철,9.7,"16,200원",2022-10-31
7,9791191891201 ,잘될 수밖에 없는 너에게(10만부 기념 응원 에디션),시/에세이,최서영,9.4,"14,400원",2022년08월18일,,7,9788997575169 ,원씽 THE ONE THING,자기계발,게리 켈러,9.1,"12,600원",2013년 08월 30일,,7,788997575169 ,원씽(THE ONE THING)(리커버 특별판),국내도서,"게리켈러,제이파파산",/,"12,600원",2017년 10월 25일,,7,9788950941819 ,세상에서 가장 쉬운 본질육아,좋은부모,지나영,9.8,"16,920원",2022-09-28
8,9791191043754 ,세상의 마지막 기차역(리커버 에디션),소설,무라세 다케시,9.7,"12,600원",2022년05월09일,,8,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일,,8,791168412477 ,흔한남매 11,국내도서,"흔한남매,백난도",/,"13,050원",2022년 07월 28일,,8,9788954699914 ,하얼빈,소설/시/희곡,김훈,8.6,"14,400원",2022-08-03
9,9788997575169 ,원씽(The One Thing)(리커버 특별판),자기계발,게리 켈러,9.7,"12,600원",2013년08월30일,,9,9791162540633 ,그릿 (50만 부 판매 기념 리커버 골드에디션),자기계발,앤절라 더크워스,8.9,"16,200원",2019년 02월 20일,,9,791168413931 ,흔한남매의 흔한 호기심 7,국내도서,"흔한남매,안치현",/,"12,600원",2022년 10월 12일,,9,9791169441315 ,원피스 103,만화,오다 에이치로,9.5,"4,950원",2022-10-28
10,9791168340510 ,파친코 1,소설,이민진,9.8,"14,220원",2022년08월05일,,10,9791158883591 ,부자 아빠 가난한 아빠 20주년 특별 기념판,경제 경영,로버트 기요사키,9.4,"15,300원",2018년 02월 22일,,10,791191891201 ,잘될 수밖에 없는 너에게-10만부 기념 응원 에디션,국내도서,최서영,/,"14,400원",2022년 08월 18일,,10,9788901260716 ,역행자,자기계발,자청,7.4,"15,750원",2022-06-03
11,9788950941819 ,세상에서 가장 쉬운 본질육아,가정/육아,지나영,9.8,"16,920원",2022년09월28일,,11,9791168270749 ,엄마의 말 연습 ,가정 살림,윤지영,9.8,"15,750원",2022년 09월 22일,,11,788936438838 ,아버지의 해방일지,국내도서,정지아,/,"13,500원",2022년 09월 02일,,11,9791130626659 ,올리버쌤의 미국식 아이 영어 습관 365,좋은부모,올리버 샨 그랜트,9.8,"20,700원",2022-10-06
12,9791158883591 ,부자 아빠 가난한 아빠 1(20주년 특별 기념판),경제/경영,로버트 기요사키,9.7,"15,300원",2022년10월28일,,12,9788950922955 ,마법천자문 54,어린이,유대영,9.6,"12,600원",2022년 08월 29일,,12,791168340510 ,파친코 1-개정판,국내도서,이민진,/,"14,220원",2022년 07월 27일,,12,9791169277068 ,도쿄 리벤저스 28,만화,와쿠이 켄,9.2,"5,400원",2022-10-20
13,9788954619585 ,단순한 열정,소설,아니 에르노,9.5,"9,000원",2015년03월30일,,13,9791191043754 ,세상의 마지막 기차역,소설/시/희곡,무라세 다케시,9.6,"12,600원",2022년 05월 11일,,13,791133463817 ,포켓몬스터 썬&문 포켓몬 전국대도감,국내도서,편집부,/,"8,550원",2017년 10월 20일,,13,9788954619585 ,단순한 열정 (무선),소설/시/희곡,아니 에르노,8.1,"9,000원",2012-11-07
14,9791189686536 ,이 책은 돈 버는 법에 관한 이야기,경제/경영,고명환,9.8,"15,120원",2022년09월19일,,14,9791168340541 ,파친코 2,소설/시/희곡,이민진,9.6,"14,220원",2022년 08월 25일,,14,791158883591 ,부자아빠 가난한 아빠 1(20주년 특별 기념판),국내도서,로버트기요사키,/,"15,300원",2018년 02월 22일,,14,9791161571188 ,불편한 편의점 (벚꽃 에디션),소설/시/희곡,김호연,8.4,"12,600원",2021-04-20
15,9791187142560 ,데일 카네기 인간관계론,자기계발,데일 카네기,9.7,"10,350원",2019년10월07일,,15,9791168412477 ,흔한남매 11,어린이,흔한남매,9.8,"13,050원",2022년 07월 28일,,15,791169441315 ,원피스 103 - 해방의 전사,국내도서,오다에이치로,/,"4,950원",2022년 10월 25일,,15,9788954688796 ,가녀장의 시대,소설/시/희곡,이슬아,8.7,"13,500원",2022-10-07
16,9791158741686 ,"반짝이는 하루, 그게 오늘이야",자기계발,레슬리 마샹,9.8,"15,120원",2022년10월20일,,16,9791191114225 ,작별인사,소설/시/희곡,김영하,9.2,"12,600원",2022년 09월 05일,,16,791191043761 ,멘탈을 바꿔야 인생이 바뀐다(10만부 리커버),국내도서,박세니,/,"15,120원",2023년 05월 15일,,16,9791168340541 ,파친코 2,소설/시/희곡,이민진,9.4,"14,220원",2022-08-25
17,9788972773665 ,나는 나를 바꾸기로 했다,자기계발,우즈훙,9.8,"14,220원",2022년10월12일,,17,9791191891201 ,잘될 수밖에 없는 너에게,에세이,최서영,9.6,"14,400원",2022년 08월 18일,,17,791191043723 ,어느 날 내 죽음에 네가 들어왔다,국내도서,세이카료겐,/,"13,500원",2022년 05월 09일,,17,9791189327156 ,"물고기는 존재하지 않는다 (리커버 특별판, 양장)",과학,룰루 밀러,8.3,"15,300원",2021-12-17
18,9788998658335 ,사람을 얻는 지혜,자기계발,발타자르 그라시안,9.7,"12,420원",2016년03월07일,,18,9791157062645 ,계속 가보겠습니다,사회 정치,임은정,9.5,"16,200원",2022년 07월 22일,,18,791168340541 ,파친코 2-개정판,국내도서,이민진,/,"14,220원",2022년 08월 25일,,18,9788932040448 ,나는 오래된 거리처럼 너를 사랑하고,소설/시/희곡,진은영,9.4,"10,800원",2022-08-31
19,9791188331796 ,돈의 속성(300쇄 리커버에디션),경제/경영,김승호,9.7,"16,020원",2020년06월15일,,19,9788954677158 ,긴긴밤,어린이,루리,9.8,"10,350원",2021년 02월 03일,,19,788978496629 ,초역 니체의 말(3판),국내도서,"프리드리히 니체,시라토리 하루히코",/,"14,220원",2022년 08월 29일,,19,8809529013452 ,2023년 문재인 탁상 달력,건강/취미,더휴먼 편집부,10,"8,820원",2022-10-25
20,9791162540633 ,그릿(50만부 판매 기념 리커버 골드에디션),자기계발,앤절라 더크워스,9.6,"16,200원",2022년12월19일,,20,9791130692944 ,대출의 마법,경제 경영,레오(김은진),9.7,"18,000원",2022년 08월 26일,,20,791168412620 ,민쩌미 코디북 1 - 잘생긴 전학생의 등장,국내도서,민쩌미,/,"12,150원",2022년 08월 30일,,20,9791168340510 ,파친코 1,소설/시/희곡,이민진,9.4,"14,220원",2022-07-27
2022년11월,,,,,,,,,2022년11월,,,,,,,,,2022년 11월,,,,,,,,,2022년11월,,,,,,,
1,9788959897094 ,트렌드 코리아 2023,경제/경영,김난도,9.5,"17,100원",2022년10월05일,,1,9788959897094 ,트렌드 코리아 2023 ,경제 경영,김난도,9.3,"17,100원",2022년 10월 05일,,1,788959897094 ,트렌드 코리아 2023 -서울대 소비트렌드 분석센터의 2023 전망,국내도서,"김난도,전미영,최지혜,이수진,권정윤,이준영,이향은,한다혜,이혜원,추예린",/,"17,100원",2022년 10월 05일,,1,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.4,"13,500원",2022-09-02
2,9788936438838 ,아버지의 해방일지,소설,정지아,9.9,"13,500원",2022년09월02일,,2,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.6,"13,500원",2022년 09월 02일,,2,791161571188 ,불편한 편의점(벚꽃 에디션),국내도서,김호연,/,"12,600원",2021년 04월 20일,,2,9788959897094 ,트렌드 코리아 2023,경제경영,김난도,8.1,"17,100원",2022-10-05
3,9791161571188 ,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일,,3,9788954699914 ,하얼빈,소설/시/희곡,김훈,9.4,"14,400원",2022년 08월 03일,,3,791168414075 ,에그박사 8-자연 생물 관찰 만화,국내도서,"에그박사,박송이",/,"13,050원",2022년 11월 10일,,3,9788997780518 ,조국의 법고전 산책,인문학,조국,9.6,"19,800원",2022-11-09
4,9788997780518 ,조국의 법고전 산책,인문,조국,9.8,"19,800원",2022년11월09일,,4,9788901260716 ,역행자,자기계발,자청,9.3,"15,750원",2022년 05월 30일,,4,791161571379 ,불편한 편의점2(단풍 에디션),국내도서,김호연,/,"12,600원",2022년 08월 10일,,4,9791191859379 ,인생의 역사,에세이,신형철,9.7,"16,200원",2022-10-31
5,9791161571379 ,불편한 편의점 2(단풍 에디션),소설,김호연,9.8,"12,600원",2022년08월10일,,5,9788950941819 ,세상에서 가장 쉬운 본질육아 ,가정 살림,지나영,9.8,"16,920원",2022년 09월 28일,,5,791191043754 ,세상의 마지막 기차역-리커버 에디션,국내도서,무라세다케시,/,"12,600원",2022년 05월 11일,,5,8809477871913 ,멜로디 봉봉 : 크리스마스 캐럴,유아,김영아,9.2,"9,300원",2022-11-01
6,9788954699914 ,하얼빈,소설,김훈,9.8,"14,400원",2022년08월03일,,6,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022년 08월 10일,,6,788901260716 ,역행자,국내도서,자청,/,"15,750원",2022년 05월 30일,,6,9791167070791 ,인생의 허무를 어떻게 할 것인가,인문학,김영민,8.5,"14,400원",2022-10-31
7,9791192300245 ,마흔에 읽는 니체(10만 부 양장 리커버 에디션),인문,장재형,9.7,"14,400원",2022년09월01일,,7,9791130626659 ,올리버쌤의 미국식 아이 영어 습관 365,가정 살림,올리버 샨 그랜트,10,"20,700원",2022년 10월 06일,,7,788954699914 ,하얼빈,국내도서,김훈,/,"14,400원",2022년 08월 03일,,7,9791161571379 ,불편한 편의점 2 (단풍 에디션),소설/시/희곡,김호연,9.2,"12,600원",2022-08-10
8,9791158741693 ,조금 서툴더라도 네 인생을 응원해,시/에세이,자회독서회,9.9,"15,120원",2022년11월20일,,8,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일,,8,788997575169 ,원씽(THE ONE THING)(리커버 특별판),국내도서,"게리켈러,제이파파산",/,"12,600원",2017년 10월 25일,,8,9791164064748 ,이상한 과자 가게 전천당 16,어린이,히로시마 레이코,9.9,"11,700원",2022-11-25
9,9791191043754 ,세상의 마지막 기차역(리커버 에디션),소설,무라세 다케시,9.7,"12,600원",2022년05월09일,,9,9791158883591 ,부자 아빠 가난한 아빠 20주년 특별 기념판,경제 경영,로버트 기요사키,9.4,"15,300원",2018년 02월 22일,,9,791168414471 ,흔한남매 12,국내도서,"흔한남매,백난도",/,"13,050원",2022년 11월 30일,,9,9791168414471 ,흔한남매 12,어린이,흔한남매,9.8,"13,050원",2022-11-30
10,9788997575169 ,원씽(The One Thing)(리커버 특별판),자기계발,게리 켈러,9.7,"12,600원",2013년08월30일,,10,9791191043754 ,세상의 마지막 기차역,소설/시/희곡,무라세 다케시,9.6,"12,600원",2022년 05월 11일,,10,788936438838 ,아버지의 해방일지,국내도서,정지아,/,"13,500원",2022년 09월 02일,,10,9791170522119 ,한계선을 넘다,예술/대중문화,크래프톤,9.8,"31,500원",2022-11-11
11,9791190538510 ,만일 내가 인생을 다시 산다면(30만 부 기념 리커버 에디션),인문,김혜남,9.7,"15,480원",2022년11월11일,,11,9791168413931 ,흔한남매의 흔한 호기심 7,어린이,흔한남매,10,"12,600원",2022년 10월 12일,,11,791168413931 ,흔한남매의 흔한 호기심 7,국내도서,"흔한남매,안치현",/,"12,600원",2022년 10월 12일,,11,9791138434911 ,야쿠자의 덕질 2,만화,야츠다 테키,9.6,"5,400원",2022-12-07
12,9788936479190 ,나의 문화유산답사기 11: 서울편(3),역사/문화,유홍준,9.8,"19,800원",2022년10월25일,,12,9791136757296 ,주술회전 20 일반판 ,만화/라이트노벨,아쿠타미 게게,9.7,"5,400원",2022년 10월 26일,,12,791169441315 ,원피스 103 - 해방의 전사,국내도서,오다에이치로,/,"4,950원",2022년 10월 25일,,12,9788954699914 ,하얼빈,소설/시/희곡,김훈,8.6,"14,400원",2022-08-03
13,9791168414075 ,에그박사 8,어린이(초등),박송이,9.9,"13,050원",2022년11월10일,,13,9791192625300 ,이은경쌤의 초등어휘일력 365 ,가정 살림,이은경,9.9,"16,920원",2022년 10월 28일,,13,788978496629 ,초역 니체의 말(3판),국내도서,"프리드리히 니체,시라토리 하루히코",/,"14,220원",2022년 08월 29일,,13,9791192625300 ,이은경쌤의 초등어휘일력 365 (스프링),좋은부모,이은경,9.7,"16,920원",2022-10-28
14,9791187142560 ,데일 카네기 인간관계론,자기계발,데일 카네기,9.7,"10,350원",2019년10월07일,,14,9791140701490 ,퀀트 투자 무작정 따라하기,경제 경영,강환국,9.6,"22,500원",2022년 10월 10일,,14,791192300245 ,마흔에 읽는 니체 - 지금 이 순간을 위한 철학 수업(10만 부 양장 리커버 에디션),국내도서,장재형,/,"14,400원",2022년 09월 01일,,14,9791161571188 ,불편한 편의점 (벚꽃 에디션),소설/시/희곡,김호연,8.4,"12,600원",2021-04-20
15,9791167070791 ,인생의 허무를 어떻게 할 것인가,인문,김영민,9.7,"14,400원",2022년10월31일,,15,9791189686536 ,[예스리커버] 이 책은 돈 버는 법에 관한 이야기 ,경제 경영,고명환,9.3,"15,120원",2022년 09월 19일,,15,791167732071 ,임용 면접레시피 기본서(2023대비),국내도서,"류은진, 양왕경, 이광한, 이지혜",/,"31,350원",2022년 10월 27일,,15,9788949162485 ,랑랑 형제 떡집,어린이,김리리,9.6,"9,900원",2022-10-26
16,9788954619585 ,단순한 열정,소설,아니 에르노,9.5,"9,000원",2015년03월30일,,16,9791191891201 ,잘될 수밖에 없는 너에게,에세이,최서영,9.6,"14,400원",2022년 08월 18일,,16,791164064748 ,이상한 과자 가게 전천당 16,국내도서,히로시마레이코,/,"11,700원",2022년 11월 25일,,16,9788901260716 ,역행자,자기계발,자청,7.4,"15,750원",2022-06-03
17,9791191891201 ,잘될 수밖에 없는 너에게(10만부 기념 응원 에디션),시/에세이,최서영,9.4,"14,400원",2022년08월18일,,17,9788998658335 ,사람을 얻는 지혜,자기계발,발타자르 그라시안,9.3,"12,420원",2016년 03월 07일,,17,791133463817 ,포켓몬스터 썬&문 포켓몬 전국대도감,국내도서,편집부,/,"8,550원",2017년 10월 20일,,17,9788936438869 ,아주 오랜만에 행복하다는 느낌,에세이,백수린,9.7,"12,600원",2022-10-14
18,9791168340510 ,파친코 1,소설,이민진,9.8,"14,220원",2022년08월05일,,18,9791192300245 ,마흔에 읽는 니체 (10만부 리커버 에디션),인문,장재형,9.2,"14,400원",2022년 09월 01일,,18,791168412477 ,흔한남매 11,국내도서,"흔한남매,백난도",/,"13,050원",2022년 07월 28일,,18,9791192300245 ,마흔에 읽는 니체,인문학,장재형,9.1,"14,400원",2022-09-01
19,9791169441315 ,원피스 103: 해방의 전사,만화,Eiichiro Oda,10,"4,950원",2022년10월31일,,19,9788997575169 ,원씽 THE ONE THING,자기계발,게리 켈러,9.1,"12,600원",2013년 08월 30일,,19,788934946793 ,흔한남매 과학 탐험대6-물리2,국내도서,"흔한남매,닥터스코,이현진",/,"12,600원",2022년 11월 22일,,19,9788934946793 ,흔한남매 과학 탐험대 6 : 물리 2,어린이,흔한남매,10,"12,600원",2022-11-22
20,9791158741709 ,나 혼자만 알고 싶은 실전 심리학,자기계발,왕리,9.5,"15,120원",2022년11월30일,,20,9791169441315 ,원피스 ONE PIECE 103,만화/라이트노벨,오다 에이이치로,9.6,"4,950원",2022년 10월 28일,,20,791168340510 ,파친코 1-개정판,국내도서,이민진,/,"14,220원",2022년 07월 27일,,20,9788936479190 ,나의 문화유산답사기 11 : 서울편 3,인문학,유홍준,9.6,"19,800원",2022-10-25
2022년12월,,,,,,,,,2022년12월,,,,,,,,,2022년 12월,,,,,,,,,2022년12월,,,,,,,
1,9788959897094 ,트렌드 코리아 2023,경제/경영,김난도,9.5,"17,100원",2022년10월05일,,1,9788959897094 ,트렌드 코리아 2023 ,경제 경영,김난도,9.3,"17,100원",2022년 10월 05일,,1,791168414471 ,흔한남매 12,국내도서,"흔한남매,백난도",/,"13,050원",2022년 11월 30일,,1,9791190538510 ,만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션),인문학,김혜남,9.4,"15,480원",2022-11-11
2,9791190538510 ,만일 내가 인생을 다시 산다면(30만 부 기념 리커버 에디션),인문,김혜남,9.7,"15,480원",2022년11월11일,,2,9788901260716 ,역행자,자기계발,자청,9.3,"15,750원",2022년 05월 30일,,2,788959897094 ,트렌드 코리아 2023 -서울대 소비트렌드 분석센터의 2023 전망,국내도서,"김난도,전미영,최지혜,이수진,권정윤,이준영,이향은,한다혜,이혜원,추예린",/,"17,100원",2022년 10월 05일,,2,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.4,"13,500원",2022-09-02
3,9791168414471 ,흔한남매 12,어린이(초등),흔한남매,9.9,"13,050원",2022년11월30일,,3,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.6,"13,500원",2022년 09월 02일,,3,791191043297 ,오늘 밤 세계에서 이 사랑이 사라진다 해도,국내도서,이치조미사키,/,"12,600원",2021년 06월 28일,,3,9791130689890 ,내가 틀릴 수도 있습니다 (리커버),인문학,비욘 나티코 린데블라드,9.1,"14,400원",2022-04-18
4,9791161571188 ,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일,,4,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022년 08월 10일,,4,791161571188 ,불편한 편의점(벚꽃 에디션),국내도서,김호연,/,"12,600원",2021년 04월 20일,,4,9791168414471 ,흔한남매 12,어린이,흔한남매,9.8,"13,050원",2022-11-30
5,9791191043297 ,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",소설,이치조 미사키,9.5,"12,600원",2021년06월28일,,5,9788997780518 ,조국의 법고전 산책,인문,조국,9.7,"19,800원",2022년 11월 09일,,5,791161571379 ,불편한 편의점2(단풍 에디션),국내도서,김호연,/,"12,600원",2022년 08월 10일,,5,9788959897094 ,트렌드 코리아 2023,경제경영,김난도,8.1,"17,100원",2022-10-05
6,9791161571379 ,불편한 편의점 2(단풍 에디션),소설,김호연,9.8,"12,600원",2022년08월10일,,6,9791192625300 ,이은경쌤의 초등어휘일력 365 ,가정 살림,이은경,9.9,"16,920원",2022년 10월 28일,,6,791190538510 ,만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션),국내도서,김혜남,/,"15,480원",2022년 11월 11일,,6,K522830559,주술회전 21 (초판한정 스페셜 일러스트 카드 + 선착순 한정 후시구로 메구미 포토 카드 포함 특장판),만화,아쿠타미 게게,9.8,"5,400원",2022-12-30
7,9788936438838 ,아버지의 해방일지,소설,정지아,9.9,"13,500원",2022년09월02일,,7,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일,,7,788997575169 ,원씽(THE ONE THING)(리커버 특별판),국내도서,"게리켈러,제이파파산",/,"12,600원",2017년 10월 25일,,7,9791169472807 ,스파이 패밀리 10,만화,엔도 타츠야,9.8,"5,400원",2022-12-20
8,9788997575169 ,원씽(The One Thing)(리커버 특별판),자기계발,게리 켈러,9.7,"12,600원",2013년08월30일,,8,9791165346485 ,천 원을 경영하라,경제 경영,박정부,9.7,"14,400원",2022년 12월 01일,,8,791191043754 ,세상의 마지막 기차역-리커버 에디션,국내도서,무라세다케시,/,"12,600원",2022년 05월 11일,,8,9791191043297 ,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",소설/시/희곡,이치조 미사키,8.4,"12,600원",2021-06-21
9,9788954699914 ,하얼빈,소설,김훈,9.8,"14,400원",2022년08월03일,,9,9788954699914 ,하얼빈,소설/시/희곡,김훈,9.4,"14,400원",2022년 08월 03일,,9,788954699914 ,하얼빈,국내도서,김훈,/,"14,400원",2022년 08월 03일,,9,9791161571379 ,불편한 편의점 2 (단풍 에디션),소설/시/희곡,김호연,9.2,"12,600원",2022-08-10
10,9791191891232 ,머니 트렌드 2023,경제/경영,정태익,9.5,"17,100원",2022년11월15일,,10,9791168414471 ,흔한남매 12,어린이,흔한남매,9.8,"13,050원",2022년 11월 30일,,10,791191043976 ,오늘 밤 세계에서 이 눈물이 사라진다 해도,국내도서,이치조 미사키,/,"12,600원",2022년 07월 28일,,10,9791136760951 ,명탐정 코난 102,만화,아오야마 고쇼,9.1,"5,400원",2022-12-22
11,9791191043754 ,세상의 마지막 기차역(리커버 에디션),소설,무라세 다케시,9.7,"12,600원",2022년05월09일,,11,9788949162485 ,랑랑 형제 떡집,어린이,김리리,9.6,"9,900원",2022년 10월 26일,,11,788934946793 ,흔한남매 과학 탐험대6-물리2,국내도서,"흔한남매,닥터스코,이현진",/,"12,600원",2022년 11월 22일,,11,9791161571188 ,불편한 편의점 (벚꽃 에디션),소설/시/희곡,김호연,8.4,"12,600원",2021-04-20
12,9791192300245 ,마흔에 읽는 니체(10만 부 양장 리커버 에디션),인문,장재형,9.7,"14,400원",2022년09월01일,,12,9791168414075 ,에그박사 8,어린이,에그박사,10,"13,050원",2022년 11월 10일,,12,788901260716 ,역행자,국내도서,자청,/,"15,750원",2022년 05월 30일,,12,9791191859379 ,인생의 역사,에세이,신형철,9.7,"16,200원",2022-10-31
13,9791130689890 ,내가 틀릴 수도 있습니다,인문,비욘 나티코 린데블라드,9.6,"14,400원",2022년04월18일,,13,9788950941819 ,세상에서 가장 쉬운 본질육아 ,가정 살림,지나영,9.8,"16,920원",2022년 09월 28일,,13,788978496629 ,초역 니체의 말(3판),국내도서,"프리드리히 니체,시라토리 하루히코",/,"14,220원",2022년 08월 29일,,13,9791190382502 ,모든 것은 기본에서 시작한다,에세이,손웅정,9.4,"14,400원",2021-10-15
14,9791187142560 ,데일 카네기 인간관계론,자기계발,데일 카네기,9.7,"10,350원",2019년10월07일,,14,9791164064748 ,이상한 과자 가게 전천당 16,어린이,히로시마 레이코,9.8,"11,700원",2022년 11월 25일,,14,788936438838 ,아버지의 해방일지,국내도서,정지아,/,"13,500원",2022년 09월 02일,,14,9788960499751 ,거의 모든 일상 표현의 영어,외국어,케빈 강,9.6,"15,300원",2022-11-01
15,9791190382502 ,모든 것은 기본에서 시작한다,시/에세이,손웅정,9.8,"14,400원",2021년10월15일,,15,9791190538510 ,만일 내가 인생을 다시 산다면 (30만 부 기념 스페셜 에디션),인문,김혜남,9.6,"15,480원",2022년 11월 11일,,15,791168414075 ,에그박사 8-자연 생물 관찰 만화,국내도서,"에그박사,박송이",/,"13,050원",2022년 11월 10일,,15,9791136760937 ,명탐정 코난 : 제로의 일상 6,만화,아라이 타카히로,9.9,"5,400원",2022-12-22
