,교보문고,2022.07~2023.05,임규찬,,,,,,,YES24,2022.07~2022.06,구영인,,,,,,,영풍문고,2022.07~2023.06,우종연,,,,,,,알라딘,2022.07~2023.06,진수영,,,,
,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일,,,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일,,,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일,,,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
2022년07월,,,,,,,,,2022년7월,,,,,,,,,2022년 7월,,,,,,,,,2022년7월,,,,,,,
14,9791157062645 ,계속 가보겠습니다,정치/사회,임은정,9.8,"16,200원",2022년07월22일,,14,9791191043761 ,멘탈을 바꿔야 인생이 바뀐다,자기계발,박세니,9,"15,120원",2022년 04월 30일,,14,791191043297 ,오늘 밤 세계에서 이 사랑이 사라진다 해도,국내도서,이치조미사키,/,"12,600원",2021년 06월 28일,,14,9791191114225 ,작별인사,소설/시/희곡,김영하,8.4,"12,600원",2022-05-02
15,9788965422785 ,해커스 토익 기출보카 TOEIC VOCA(토익보카) 단어장,외국어,David Cho,9.7,"11,610원",2022년03월14일,,15,9788934943457 ,최재천의 공부,인문,최재천,9.4,"14,850원",2022년 05월 18일,,15,791168412477 ,흔한남매 11,국내도서,"흔한남매,백난도",/,"13,050원",2022년 07월 28일,,15,9788950903138 ,마법천자문 53,어린이,유대영,9.6,"12,600원",2022-07-12
16,9791191043761 ,멘탈을 바꿔야 인생이 바뀐다(10만 부 기념 1주년 리커버),자기계발,박세니,9.1,"15,120원",2023년05월24일,,16,9788986755589 ,사람이 보인다 관상백과,종교,편집부,7.5,"2,200원",2012년 09월 15일,,16,788934940753 ,흔한남매 과학 탐험대5-물리1,국내도서,"흔한남매,닥터스코,이현진",/,"12,600원",2022년 06월 16일,,16,9791189327156 ,물고기는 존재하지 않는다,과학,룰루 밀러,8.3,"15,300원",2021-12-17
17,9788934943457 ,최재천의 공부,인문,최재천,9.8,"14,850원",2022년05월18일,,17,9791170400523 ,이어령의 마지막 수업,인문,김지수,9.6,"14,850원",2021년 10월 26일,,17,791168411852 ,흔한남매의 흔한 호기심 6,국내도서,"흔한남매,안치현",/,"11,700원",2022년 06월 08일,,17,8809264181515 ,클래식 뮤지컬 차이콥스키의 발레곡 호두까기 인형 사운드북,유아,피오나 와트,9.7,"15,200원",2020-11-05
18,9791168412477 ,흔한남매 11,어린이(초등),흔한남매,9.9,"13,050원",2022년07월28일,,18,9791157845798 ,변화하는 세계질서,경제 경영,레이 달리오,9.6,"34,200원",2022년 06월 01일,,18,791191043518 ,테라피스트,국내도서,B.A.패리스,/,"14,400원",2021년 12월 06일,,18,9791191043754 ,세상의 마지막 기차역,소설/시/희곡,무라세 다케시,9,"12,600원",2022-05-11
19,9788950903138 ,마법천자문 53: 결정을 내리다! 결단할 결,어린이(초등),유대영,9.8,"12,600원",2022년07월12일,,19,9791168768987 ,스파이 패밀리 Spy Family 9 ,만화/라이트노벨,엔도 타츠야,9.6,"5,400원",2022년 06월 21일,,19,791169180948 ,원피스 102-천왕산,국내도서,오다에이치로,/,"4,950원",2022년 06월 27일,,19,8809264181232 ,키득키득 사운드북 : 내 방귀는 안 그래!,유아,샘 태플린,0,"11,040원",2019-07-09
20,9791191043723 ,"어느 날, 내 죽음에 네가 들어왔다",소설,세이카 료겐,9.6,"13,500원",2022년05월09일,,20,9788954677158 ,긴긴밤,어린이,루리,9.8,"10,350원",2021년 02월 03일,,20,788934961574 ,눈물 한 방울: 이어령의 마지막 노트 2019-2022,국내도서,이어령,/,"14,220원",2022년 06월 30일,,20,8809264180921 ,우리 아기 오감발달 동물농장 사운드북,유아,샘 태플린,9.7,"15,200원",2018-04-11
2022년08월,,,,,,,,,2022년8월,,,,,,,,,2022년 8월,,,,,,,,,2022년8월,,,,,,,
1,9788954699914 ,하얼빈,소설,김훈,9.8,"14,400원",2022년08월03일,,1,9788932474755 ,헤어질 결심 각본,예술,박찬욱,9.9,"13,500원",2022년 08월 05일,,1,791168412477 ,흔한남매 11,국내도서,"흔한남매,백난도",/,"13,050원",2022년 07월 28일,,1,9788954699914 ,하얼빈,소설/시/희곡,김훈,8.6,"14,400원",2022-08-03
2,9791161571379 ,불편한 편의점 2(단풍 에디션),소설,김호연,9.8,"12,600원",2022년08월10일,,2,9788901260716 ,역행자,자기계발,자청,9.3,"15,750원",2022년 05월 30일,,2,788954699914 ,하얼빈,국내도서,김훈,/,"14,400원",2022년 08월 03일,,2,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022-08-10
3,9791168412477 ,흔한남매 11,어린이(초등),흔한남매,9.9,"13,050원",2022년07월28일,,3,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일,,3,791161571188 ,불편한 편의점(벚꽃 에디션),국내도서,김호연,/,"12,600원",2021년 04월 20일,,3,9788932474755 ,헤어질 결심 각본,예술/대중문화,박찬욱,9.9,"13,500원",2022-08-05
4,9791161571188 ,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일,,4,9791164064410 ,이상한 과자 가게 전천당 15,어린이,히로시마 레이코,9.9,"11,700원",2022년 07월 11일,,4,791161571379 ,불편한 편의점2(단풍 에디션),국내도서,김호연,/,"12,600원",2022년 08월 10일,,4,9791168340541 ,파친코 2,소설/시/희곡,이민진,9.4,"14,220원",2022-08-25
5,9791168340510 ,파친코 1,소설,이민진,9.8,"14,220원",2022년08월05일,,5,9791157062645 ,계속 가보겠습니다,사회 정치,임은정,9.5,"16,200원",2022년 07월 22일,,5,788901260716 ,역행자,국내도서,자청,/,"15,750원",2022년 05월 30일,,5,9791168340510 ,파친코 1,소설/시/희곡,이민진,9.4,"14,220원",2022-07-27
6,9788932474755 ,헤어질 결심 각본,예술/대중문화,정서경,9.8,"13,500원",2022년08월05일,,6,9791130692074 ,입지 센스,경제 경영,박성혜(훨훨),9.8,"18,000원",2022년 07월 11일,,6,791191043754 ,세상의 마지막 기차역-리커버 에디션,국내도서,무라세다케시,/,"12,600원",2022년 05월 11일,,6,9791157062645 ,계속 가보겠습니다,사회과학,임은정,9.7,"16,200원",2022-07-22
7,9791191043754 ,세상의 마지막 기차역(리커버 에디션),소설,무라세 다케시,9.7,"12,600원",2022년05월09일,,7,9791191114225 ,작별인사,소설/시/희곡,김영하,9.2,"12,600원",2022년 09월 05일,,7,791168340510 ,파친코 1-개정판,국내도서,이민진,/,"14,220원",2022년 07월 27일,,7,9791161571188 ,불편한 편의점 (벚꽃 에디션),소설/시/희곡,김호연,8.4,"12,600원",2021-04-20
8,9791196617127 ,기분을 관리하면 인생이 관리된다,시/에세이,김다슬,9.4,"15,840원",2022년04월12일,,8,9791168412477 ,흔한남매 11,어린이,흔한남매,9.8,"13,050원",2022년 07월 28일,,8,791133463817 ,포켓몬스터 썬&문 포켓몬 전국대도감,국내도서,편집부,/,"8,550원",2017년 10월 20일,,8,9788934942382 ,이상한 변호사 우영우 1,예술/대중문화,문지원,9.5,"17,820원",2022-09-15
9,9791157062645 ,계속 가보겠습니다,정치/사회,임은정,9.8,"16,200원",2022년07월22일,,9,9791196617127 ,기분을 관리하면 인생이 관리된다,에세이,김다슬,9.2,"15,840원",2022년 04월 12일,,9,791191043761 ,멘탈을 바꿔야 인생이 바뀐다(10만부 리커버),국내도서,박세니,/,"15,120원",2023년 05월 15일,,9,9788934942399 ,이상한 변호사 우영우 2,예술/대중문화,문지원,9.8,"17,820원",2022-09-15
10,9788956608075 ,삶의 격,인문,페터 비에리,9.6,"14,400원",2014년10월29일,,10,9788950903138 ,마법천자문 53 ,어린이,유대영,10,"12,600원",2022년 07월 12일,,10,791197377143 ,어서 오세요 휴남동 서점입니다 (봄꽃 에디션),국내도서,황보름,/,"13,500원",2022년 01월 17일,,10,9791138433389 ,야쿠자의 덕질 1,만화,야츠다 테키,9.4,"5,400원",2022-08-12
11,9791158883591 ,부자 아빠 가난한 아빠 1(20주년 특별 기념판),경제/경영,로버트 기요사키,9.7,"15,300원",2022년10월28일,,11,9791197377143 ,"어서 오세요, 휴남동 서점입니다",소설/시/희곡,황보름,9.2,"13,500원",2022년 01월 17일,,11,791191043297 ,오늘 밤 세계에서 이 사랑이 사라진다 해도,국내도서,이치조미사키,/,"12,600원",2021년 06월 28일,,11,9791168412477 ,흔한남매 11,어린이,흔한남매,10,"13,050원",2022-07-28
