,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
1,9788959897094,트렌드 코리아 2023,경제/경영,김난도,9.5,"17,100원",2022년10월05일
2,9788954699914,하얼빈,소설,김훈,9.8,"14,400원",2022년08월03일
3,9788936438838,아버지의 해방일지,소설,정지아,9.9,"13,500원",2022년09월02일
4,9791161571188,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일
5,9791161571379,불편한 편의점 2(단풍 에디션),소설,김호연,9.8,"12,600원",2022년08월10일
6,9791192300245,마흔에 읽는 니체(10만 부 양장 리커버 에디션),인문,장재형,9.7,"14,400원",2022년09월01일
7,9791191891201,잘될 수밖에 없는 너에게(10만부 기념 응원 에디션),시/에세이,최서영,9.4,"14,400원",2022년08월18일
8,9791191043754,세상의 마지막 기차역(리커버 에디션),소설,무라세 다케시,9.7,"12,600원",2022년05월09일
9,9788997575169,원씽(The One Thing)(리커버 특별판),자기계발,게리 켈러,9.7,"12,600원",2013년08월30일
10,9791168340510,파친코 1,소설,이민진,9.8,"14,220원",2022년08월05일
11,9788950941819,세상에서 가장 쉬운 본질육아,가정/육아,지나영,9.8,"16,920원",2022년09월28일
12,9791158883591,부자 아빠 가난한 아빠 1(20주년 특별 기념판),경제/경영,로버트 기요사키,9.7,"15,300원",2022년10월28일
13,9788954619585,단순한 열정,소설,아니 에르노,9.5,"9,000원",2015년03월30일
14,9791189686536,이 책은 돈 버는 법에 관한 이야기,경제/경영,고명환,9.8,"15,120원",2022년09월19일
15,9791187142560,데일 카네기 인간관계론,자기계발,데일 카네기,9.7,"10,350원",2019년10월07일
16,9791158741686,"반짝이는 하루, 그게 오늘이야",자기계발,레슬리 마샹,9.8,"15,120원",2022년10월20일
17,9788972773665,나는 나를 바꾸기로 했다,자기계발,우즈훙,9.8,"14,220원",2022년10월12일
18,9788998658335,사람을 얻는 지혜,자기계발,발타자르 그라시안,9.7,"12,420원",2016년03월07일
19,9791188331796,돈의 속성(300쇄 리커버에디션),경제/경영,김승호,9.7,"16,020원",2020년06월15일
20,9791162540633,그릿(50만부 판매 기념 리커버 골드에디션),자기계발,앤절라 더크워스,9.6,"16,200원",2022년12월19일
2022년11월,,,,,,,
1,9788959897094,트렌드 코리아 2023,경제/경영,김난도,9.5,"17,100원",2022년10월05일
2,9788936438838,아버지의 해방일지,소설,정지아,9.9,"13,500원",2022년09월02일
3,9791161571188,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일
4,9788997780518,조국의 법고전 산책,인문,조국,9.8,"19,800원",2022년11월09일
5,9791161571379,불편한 편의점 2(단풍 에디션),소설,김호연,9.8,"12,600원",2022년08월10일
6,9788954699914,하얼빈,소설,김훈,9.8,"14,400원",2022년08월03일
7,9791192300245,마흔에 읽는 니체(10만 부 양장 리커버 에디션),인문,장재형,9.7,"14,400원",2022년09월01일
8,9791158741693,조금 서툴더라도 네 인생을 응원해,시/에세이,자회독서회,9.9,"15,120원",2022년11월20일
9,9791191043754,세상의 마지막 기차역(리커버 에디션),소설,무라세 다케시,9.7,"12,600원",2022년05월09일
10,9788997575169,원씽(The One Thing)(리커버 특별판),자기계발,게리 켈러,9.7,"12,600원",2013년08월30일
11,9791190538510,만일 내가 인생을 다시 산다면(30만 부 기념 리커버 에디션),인문,김혜남,9.7,"15,480원",2022년11월11일
12,9788936479190,나의 문화유산답사기 11: 서울편(3),역사/문화,유홍준,9.8,"19,800원",2022년10월25일
13,9791168414075,에그박사 8,어린이(초등),박송이,9.9,"13,050원",2022년11월10일
14,9791187142560,데일 카네기 인간관계론,자기계발,데일 카네기,9.7,"10,350원",2019년10월07일
15,9791167070791,인생의 허무를 어떻게 할 것인가,인문,김영민,9.7,"14,400원",2022년10월31일
16,9788954619585,단순한 열정,소설,아니 에르노,9.5,"9,000원",2015년03월30일
17,9791191891201,잘될 수밖에 없는 너에게(10만부 기념 응원 에디션),시/에세이,최서영,9.4,"14,400원",2022년08월18일
18,9791168340510,파친코 1,소설,이민진,9.8,"14,220원",2022년08월05일
19,9791169441315,원피스 103: 해방의 전사,만화,Eiichiro Oda,10.0,"4,950원",2022년10월31일
20,9791158741709,나 혼자만 알고 싶은 실전 심리학,자기계발,왕리,9.5,"15,120원",2022년11월30일
2022년12월,,,,,,,
1,9788959897094,트렌드 코리아 2023,경제/경영,김난도,9.5,"17,100원",2022년10월05일
2,9791190538510,만일 내가 인생을 다시 산다면(30만 부 기념 리커버 에디션),인문,김혜남,9.7,"15,480원",2022년11월11일
3,9791168414471,흔한남매 12,어린이(초등),흔한남매,9.9,"13,050원",2022년11월30일
4,9791161571188,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일
5,9791191043297,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",소설,이치조 미사키,9.5,"12,600원",2021년06월28일
6,9791161571379,불편한 편의점 2(단풍 에디션),소설,김호연,9.8,"12,600원",2022년08월10일
7,9788936438838,아버지의 해방일지,소설,정지아,9.9,"13,500원",2022년09월02일
8,9788997575169,원씽(The One Thing)(리커버 특별판),자기계발,게리 켈러,9.7,"12,600원",2013년08월30일
9,9788954699914,하얼빈,소설,김훈,9.8,"14,400원",2022년08월03일
10,9791191891232,머니 트렌드 2023,경제/경영,정태익,9.5,"17,100원",2022년11월15일
