,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
17,9791191114225 ,작별인사,소설/시/희곡,김영하,9.2,"12,600원",2022년 09월 05일
18,9788997575169 ,원씽 THE ONE THING,자기계발,게리 켈러,9.1,"12,600원",2013년 08월 30일
19,9791130633619 ,부자의 그릇,경제 경영,이즈미 마사토,9.4,"13,500원",2020년 12월 14일
20,9788917238549 ,ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩 ,국어 외국어 사전,ETS,9.8,"16,020원",2021년 12월 13일
2022년10월,,,,,,,
1,9788901260716 ,역행자,자기계발,자청,9.3,"15,750원",2022년 05월 30일
2,9788954699914 ,하얼빈,소설/시/희곡,김훈,9.4,"14,400원",2022년 08월 03일
3,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022년 08월 10일
4,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.6,"13,500원",2022년 09월 02일
5,9791191496604 ,설민석의 한국사 대모험 22,어린이,설민석,10,"11,700원",2022년 08월 29일
6,9791140410552 ,데뷔 못 하면 죽는 병 걸림 1부 초판 한정 굿즈박스 세트,소설/시/희곡,백덕수,9.8,"85,500원",2022년 12월 08일
7,9788997575169 ,원씽 THE ONE THING,자기계발,게리 켈러,9.1,"12,600원",2013년 08월 30일
8,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일
9,9791162540633 ,그릿 (50만 부 판매 기념 리커버 골드에디션),자기계발,앤절라 더크워스,8.9,"16,200원",2019년 02월 20일
10,9791158883591 ,부자 아빠 가난한 아빠 20주년 특별 기념판,경제 경영,로버트 기요사키,9.4,"15,300원",2018년 02월 22일
11,9791168270749 ,엄마의 말 연습 ,가정 살림,윤지영,9.8,"15,750원",2022년 09월 22일
12,9788950922955 ,마법천자문 54,어린이,유대영,9.6,"12,600원",2022년 08월 29일
13,9791191043754 ,세상의 마지막 기차역,소설/시/희곡,무라세 다케시,9.6,"12,600원",2022년 05월 11일
14,9791168340541 ,파친코 2,소설/시/희곡,이민진,9.6,"14,220원",2022년 08월 25일
15,9791168412477 ,흔한남매 11,어린이,흔한남매,9.8,"13,050원",2022년 07월 28일
16,9791191114225 ,작별인사,소설/시/희곡,김영하,9.2,"12,600원",2022년 09월 05일
17,9791191891201 ,잘될 수밖에 없는 너에게,에세이,최서영,9.6,"14,400원",2022년 08월 18일
18,9791157062645 ,계속 가보겠습니다,사회 정치,임은정,9.5,"16,200원",2022년 07월 22일
19,9788954677158 ,긴긴밤,어린이,루리,9.8,"10,350원",2021년 02월 03일
20,9791130692944 ,대출의 마법,경제 경영,레오(김은진),9.7,"18,000원",2022년 08월 26일
2022년11월,,,,,,,
1,9788959897094 ,트렌드 코리아 2023 ,경제 경영,김난도,9.3,"17,100원",2022년 10월 05일
2,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.6,"13,500원",2022년 09월 02일
3,9788954699914 ,하얼빈,소설/시/희곡,김훈,9.4,"14,400원",2022년 08월 03일
4,9788901260716 ,역행자,자기계발,자청,9.3,"15,750원",2022년 05월 30일
5,9788950941819 ,세상에서 가장 쉬운 본질육아 ,가정 살림,지나영,9.8,"16,920원",2022년 09월 28일
6,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022년 08월 10일
7,9791130626659 ,올리버쌤의 미국식 아이 영어 습관 365,가정 살림,올리버 샨 그랜트,10,"20,700원",2022년 10월 06일
8,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일
9,9791158883591 ,부자 아빠 가난한 아빠 20주년 특별 기념판,경제 경영,로버트 기요사키,9.4,"15,300원",2018년 02월 22일
10,9791191043754 ,세상의 마지막 기차역,소설/시/희곡,무라세 다케시,9.6,"12,600원",2022년 05월 11일
11,9791168413931 ,흔한남매의 흔한 호기심 7,어린이,흔한남매,10,"12,600원",2022년 10월 12일
12,9791136757296 ,주술회전 20 일반판 ,만화/라이트노벨,아쿠타미 게게,9.7,"5,400원",2022년 10월 26일
13,9791192625300 ,이은경쌤의 초등어휘일력 365 ,가정 살림,이은경,9.9,"16,920원",2022년 10월 28일
14,9791140701490 ,퀀트 투자 무작정 따라하기,경제 경영,강환국,9.6,"22,500원",2022년 10월 10일
15,9791189686536 ,[예스리커버] 이 책은 돈 버는 법에 관한 이야기 ,경제 경영,고명환,9.3,"15,120원",2022년 09월 19일
16,9791191891201 ,잘될 수밖에 없는 너에게,에세이,최서영,9.6,"14,400원",2022년 08월 18일
17,9788998658335 ,사람을 얻는 지혜,자기계발,발타자르 그라시안,9.3,"12,420원",2016년 03월 07일
18,9791192300245 ,마흔에 읽는 니체 (10만부 리커버 에디션),인문,장재형,9.2,"14,400원",2022년 09월 01일
19,9788997575169 ,원씽 THE ONE THING,자기계발,게리 켈러,9.1,"12,600원",2013년 08월 30일
20,9791169441315 ,원피스 ONE PIECE 103,만화/라이트노벨,오다 에이이치로,9.6,"4,950원",2022년 10월 28일
2022년12월,,,,,,,
1,9788959897094 ,트렌드 코리아 2023 ,경제 경영,김난도,9.3,"17,100원",2022년 10월 05일
2,9788901260716 ,역행자,자기계발,자청,9.3,"15,750원",2022년 05월 30일
3,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.6,"13,500원",2022년 09월 02일
4,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022년 08월 10일
5,9788997780518 ,조국의 법고전 산책,인문,조국,9.7,"19,800원",2022년 11월 09일
6,9791192625300 ,이은경쌤의 초등어휘일력 365 ,가정 살림,이은경,9.9,"16,920원",2022년 10월 28일
7,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일
8,9791165346485 ,천 원을 경영하라,경제 경영,박정부,9.7,"14,400원",2022년 12월 01일
9,9788954699914 ,하얼빈,소설/시/희곡,김훈,9.4,"14,400원",2022년 08월 03일
10,9791168414471 ,흔한남매 12,어린이,흔한남매,9.8,"13,050원",2022년 11월 30일
11,9788949162485 ,랑랑 형제 떡집,어린이,김리리,9.6,"9,900원",2022년 10월 26일
12,9791168414075 ,에그박사 8,어린이,에그박사,10,"13,050원",2022년 11월 10일
13,9788950941819 ,세상에서 가장 쉬운 본질육아 ,가정 살림,지나영,9.8,"16,920원",2022년 09월 28일
14,9791164064748 ,이상한 과자 가게 전천당 16,어린이,히로시마 레이코,9.8,"11,700원",2022년 11월 25일
15,9791190538510 ,만일 내가 인생을 다시 산다면 (30만 부 기념 스페셜 에디션),인문,김혜남,9.6,"15,480원",2022년 11월 11일
16,9788934946793 ,흔한남매 과학 탐험대 6 물리 2,어린이,흔한남매,9.8,"12,600원",2022년 11월 22일
17,9788901264776 ,"우리, 편하게 말해요",자기계발,이금희,9.4,"15,300원",2022년 10월 21일
18,9791192300245 ,마흔에 읽는 니체 (10만부 리커버 에디션),인문,장재형,9.2,"14,400원",2022년 09월 01일
19,9791189686536 ,[예스리커버] 이 책은 돈 버는 법에 관한 이야기 ,경제 경영,고명환,9.3,"15,120원",2022년 09월 19일
20,9788901265506 ,나의 월급 독립 프로젝트 (리마스터 에디션),경제 경영,유목민,9.6,"17,820원",2022년 10월 28일
2023년1월,,,,,,,
1,9791190538510 ,만일 내가 인생을 다시 산다면 (30만 부 기념 스페셜 에디션),인문,김혜남,9.6,"15,480원",2022년 11월 11일
2,9788959897094 ,트렌드 코리아 2023 ,경제 경영,김난도,9.3,"17,100원",2022년 10월 05일
3,9791168414471 ,흔한남매 12,어린이,흔한남매,9.8,"13,050원",2022년 11월 30일
4,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022년 08월 10일
5,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일
6,9791130689890 ,내가 틀릴 수도 있습니다,인문,비욘 나티코 린데블라드,9.3,"14,400원",2022년 04월 18일
7,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.6,"13,500원",2022년 09월 02일
8,9791191043297 ,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",소설/시/희곡,이치조 미사키,9.2,"12,600원",2021년 06월 28일
9,9788901260716 ,역행자,자기계발,자청,9.3,"15,750원",2022년 05월 30일
10,9791165346485 ,천 원을 경영하라,경제 경영,박정부,9.7,"14,400원",2022년 12월 01일
11,9788954699914 ,하얼빈,소설/시/희곡,김훈,9.4,"14,400원",2022년 08월 03일
12,9791192625300 ,이은경쌤의 초등어휘일력 365 ,가정 살림,이은경,9.9,"16,920원",2022년 10월 28일
13,9791191496642 ,설민석의 한국사 대모험 23 ,어린이,스토리박스,10,"11,700원",2022년 11월 28일
14,9788997575169 ,원씽 THE ONE THING,자기계발,게리 켈러,9.1,"12,600원",2013년 08월 30일
15,9791190382502 ,모든 것은 기본에서 시작한다,에세이,손웅정,9.7,"14,400원",2021년 10월 15일
16,9791168340510 ,파친코 1,소설/시/희곡,이민진,9.6,"14,220원",2022년 07월 27일
17,9791168340541 ,파친코 2,소설/시/희곡,이민진,9.6,"14,220원",2022년 08월 25일
18,9791187142560 ,데일 카네기 인간관계론,자기계발,데일 카네기,9.5,"10,350원",2019년 10월 07일
19,9788934946793 ,흔한남매 과학 탐험대 6 물리 2,어린이,흔한남매,9.8,"12,600원",2022년 11월 22일
20,9791192300245 ,마흔에 읽는 니체 (10만부 리커버 에디션),인문,장재형,9.2,"14,400원",2022년 09월 01일
2023년2월,,,,,,,
1,9791190538510 ,만일 내가 인생을 다시 산다면 (30만 부 기념 스페셜 에디션),인문,김혜남,9.6,"15,480원",2022년 11월 11일
2,9791130696393 ,스카이 버스,가정 살림,분당강쌤,9.8,"16,200원",2023년 01월 03일
3,9791190382915 ,생에 감사해,에세이,김혜자,9.6,"15,300원",2022년 12월 22일
4,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일
5,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022년 08월 10일
6,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.6,"13,500원",2022년 09월 02일
7,9788997575169 ,원씽 THE ONE THING,자기계발,게리 켈러,9.1,"12,600원",2013년 08월 30일
8,9791138911726 ,"2023 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",수험서 자격증,최태성,10,"13,950원",2022년 12월 05일
9,9788959897094 ,트렌드 코리아 2023 ,경제 경영,김난도,9.3,"17,100원",2022년 10월 05일
10,9791157062805 ,미스터 프레지던트,사회 정치,탁현민,9.8,"19,800원",2023년 01월 18일
11,9791138911733 ,"2023 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",수험서 자격증,최태성,10,"13,500원",2022년 12월 05일
12,9791169792974 ,슬램덩크 챔프 ,만화/라이트노벨,이노우에 타케히코,9.5,"13,500원",2023년 01월 06일
13,9791191043297 ,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",소설/시/희곡,이치조 미사키,9.2,"12,600원",2021년 06월 28일
14,9788954699914 ,하얼빈,소설/시/희곡,김훈,9.4,"14,400원",2022년 08월 03일
15,9791168473690 ,세이노의 가르침,자기계발,세이노(SayNo),9.1,"6,480원",2023년 03월 02일
16,9791130689890 ,내가 틀릴 수도 있습니다,인문,비욘 나티코 린데블라드,9.3,"14,400원",2022년 04월 18일
17,9791133487516 ,슬램덩크 신장재편판 1,만화/라이트노벨,이노우에 타케히코,9.7,"6,300원",2018년 08월 24일
18,9788917238549 ,ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩 ,국어 외국어 사전,ETS,9.8,"16,020원",2021년 12월 13일
19,9791133487530 ,슬램덩크 신장재편판 3,만화/라이트노벨,이노우에 타케히코,9.8,"6,300원",2018년 08월 24일
20,9791133487523 ,슬램덩크 신장재편판 2,만화/라이트노벨,이노우에 타케히코,9.8,"5,850원",2018년 08월 24일
2023년3월,,,,,,,
1,9791198013026 ,김미경의 마흔 수업,자기계발,김미경,9.8,"16,200원",2023년 02월 15일
2,9791190538510 ,만일 내가 인생을 다시 산다면 (30만 부 기념 스페셜 에디션),인문,김혜남,9.6,"15,480원",2022년 11월 11일
3,9791169794930 ,슬램덩크 리소스-THE FIRST SLAM DUNK re:SOURCE,만화/라이트노벨,이노우에 타케히코,9.8,"18,000원",2023년 02월 16일
4,9791168473690 ,세이노의 가르침,자기계발,세이노(SayNo),9.1,"6,480원",2023년 03월 02일
5,9791191521221 ,K 배터리 레볼루션,경제 경영,박순혁,9.5,"17,100원",2023년 02월 20일
6,9791133487516 ,슬램덩크 신장재편판 1,만화/라이트노벨,이노우에 타케히코,9.7,"6,300원",2018년 08월 24일
7,9791133487523 ,슬램덩크 신장재편판 2,만화/라이트노벨,이노우에 타케히코,9.8,"5,850원",2018년 08월 24일
8,9791133487530 ,슬램덩크 신장재편판 3,만화/라이트노벨,이노우에 타케히코,9.8,"6,300원",2018년 08월 24일
9,9791133487707 ,슬램덩크 신장재편판 20,만화/라이트노벨,이노우에 타케히코,9.8,"6,300원",2018년 11월 14일
10,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일
11,9791133487561 ,슬램덩크 신장재편판 6,만화/라이트노벨,이노우에 타케히코,9.8,"6,300원",2018년 08월 24일
12,9791133487547 ,슬램덩크 신장재편판 4,만화/라이트노벨,이노우에 타케히코,9.8,"6,300원",2018년 08월 24일
13,9791133487554 ,슬램덩크 신장재편판 5,만화/라이트노벨,이노우에 타케히코,9.8,"6,300원",2018년 08월 24일
